HEK_new1,HEK_new3,HELA_new1,HELA_new3
2.75862069,6.194690265,0.304878049,
1.869158879,6.031746032,0.784313725,
0.62305296,6.578947368,0.823045267,
1.012658228,7.942238267,0.81300813,
1.020408163,3.901170351,0.803212851,
0.55401662,6.230529595,0.909090909,
0.775193798,5.617977528,0.970873786,
2.693602694,2.677532014,0.854700855,
1.834862385,8.021390374,1.020408163,
1.18694362,8,0.740740741,
2.424242424,6.904761905,1.19047619,
2.189781022,5.426356589,1.408450704,
1.764705882,6.586826347,0.462962963,
1.466992665,2.272727273,0.552486188,
1.123595506,3.125,1.393728223,
1.423487544,6.153846154,1.149425287,
2.898550725,5.673758865,1.025641026,
0.71942446,11.76470588,0.307692308,
0.666666667,6.25,0.527704485,
0.36900369,5.417607223,0.925925926,
0.945626478,5.294117647,1.219512195,
1.694915254,7.407407407,3.278688525,
1.066666667,9.375,0.564971751,
0.524246396,6.436781609,0.584795322,
0.611620795,4.494382022,0.212765957,
0.85106383,7.188160677,0.729927007,
0.649350649,4.166666667,51.72413793,
1.612903226,6.572769953,0.877192982,
0.831600832,8.571428571,1.587301587,
1.393728223,6.993006993,0.884955752,
4.026845638,5.428571429,0.446428571,
1.470588235,6.796116505,0.558659218,
0.630914826,8,0.862068966,
2.040816327,4.651162791,1.183431953,
0.884955752,8.695652174,0.651465798,
1.153846154,4.651162791,2,
3.287671233,6.153846154,0.930232558,
0.684931507,3.892944039,0.751879699,
1.793721973,7.665505226,1.851851852,
0.527704485,8.02919708,1.307189542,
1.639344262,6.25,3.571428571,
0.531914894,5.945945946,0.615384615,
1.369863014,5.698778833,1.923076923,
1.095890411,9.090909091,1.015228426,
1.840490798,7.977736549,0.869565217,
1.265822785,5.449591281,0.775193798,
2.332361516,10.48387097,0.529100529,
1.498127341,7.643312102,1.754385965,
1.812688822,4.451038576,0.787401575,
0.966183575,4.12371134,0.873362445,
1.639344262,4.430379747,2.247191011,
0.589970501,7.751937985,1.418439716,
